,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
29,.\test\VOICEACTRESS100_026.wav,3.8016875,16000,6,3.2236989,3.496452,3.8479776,2.938650015931799,3.2470683596434946,3.846279412212341,3.778844
30,.\test\VOICEACTRESS100_051.wav,4.674875,16000,1,3.425446,3.6606958,4.1691318,3.073055382732011,3.3490725273508226,4.024110682490341,3.554644
31,.\test\VOICEACTRESS100_053.wav,5.0896875,16000,1,3.3274863,3.539936,4.0849934,3.0085447519707254,3.274662503157229,3.980161520219289,3.7415144
32,.\test\VOICEACTRESS100_034.wav,3.4569375,16000,4,2.83673,3.0877762,3.7395704,2.6656778092841575,2.9742508898331517,3.7787837470909142,3.60713
33,.\test\VOICEACTRESS100_054.wav,10.99,16000,1,3.3067625,3.5022635,4.1211247,2.994730820828381,3.2509481624301593,3.999262908596763,3.643546
34,.\test\VOICEACTRESS100_007.wav,7.6736875,16000,6,2.9835217,3.217288,3.877924,2.7713715925469278,3.063000872615829,3.862622731644007,3.558484
35,.\test\VOICEACTRESS100_046.wav,5.7175625,16000,2,3.1586595,3.3900747,4.0004597,2.893605487575459,3.1779447707357686,3.9336560158184564,3.4371238
36,.\test\VOICEACTRESS100_002.wav,7.500625,16000,6,2.6462672,2.9377089,3.4948559,2.5227238901938454,2.865437337002638,3.6174581514954833,3.4749072
37,.\test\VOICEACTRESS100_010.wav,4.2509375,16000,8,2.6858332,2.8369377,3.949683,2.5533792294646824,2.7921491845803676,3.9049250868073218,3.4387496
38,.\test\VOICEACTRESS100_049.wav,5.588,16000,2,3.1209903,3.333178,3.9112568,2.867771861628774,3.1411345591139828,3.8821868002490003,3.9054165
